line_cd,company_cd,line_name,line_name_k,line_name_h,line_color_c,line_color_t,line_type,lon,lat,zoom,e_status,e_sort
99503,170,岳南鉄道線,ガクナンテツドウセン,岳南鉄道線,,,,138.71412137725,35.15955767005,13,0,99503
99504,171,静岡鉄道静岡清水線,シズオカテツドウシズオカシミズセン,静岡鉄道静岡清水線,,,,138.43905812175,34.998158913627,12,0,99504
99505,172,天竜浜名湖線,テンリュウハマナコセン,天竜浜名湖鉄道天竜浜名湖線,,,,137.73047117969,34.827763716406,10,0,99505
99506,173,遠州鉄道鉄道線,エンシュウテツドウテツドウセン,遠州鉄道鉄道線,,,,137.77619852919,34.781571700638,12,0,99506
99507,174,大井川鐵道大井川本線,オオイガワテツドウオオイガワホンセン,大井川鐵道大井川本線,,,,138.10725218576,34.969743066114,11,0,99507
99508,174,南アルプスあぷとライン,ミナミアルプスアプトライン,大井川鐵道井川線,,,,138.16176092857,35.168191519026,12,0,99508
99509,175,あおなみ線,アオナミセン,西名古屋港線,,,,136.86506338193,35.12536651434,12,0,99509
99510,176,東海交通事業城北線,トウカイコウツウジギョウジョウホクセン,東海交通事業城北線,,,,136.89666252116,35.229299962293,13,0,99510
99511,177,愛知環状鉄道線,アイチカンジョウテツドウセン,愛知環状鉄道線,,,,137.12218816695,35.121306340265,10,0,99511
99512,178,リニモ,リニモ,東部丘陵線,,,,137.06001578304,35.171156191479,13,0,99512
99513,179,名古屋市営地下鉄東山線,ナゴヤシエイチカテツヒガシヤマセン,名古屋市営地下鉄東山線,FFCC00,菜種色,,136.92263373615,35.169140332448,12,0,99513
99514,179,名古屋市営地下鉄名城線,ナゴヤシエイチカテツメイジョウセン,名古屋市営地下鉄名城線,9B74C1,藤色,,136.93289743917,35.160543716879,12,0,99514
99515,179,名古屋市営地下鉄名港線,ナゴヤシエイチカテツメイコウセン,名古屋市営地下鉄名港線,9B74C1,藤色,,136.88966853969,35.125101331329,13,0,99515
99516,179,名古屋市営地下鉄鶴舞線,ナゴヤシエイチカテツツルマイセン,名古屋市営地下鉄鶴舞線,04ACDD,水色,,136.93611688203,35.170990108991,12,0,99516
99517,179,名古屋市営地下鉄桜通線,ナゴヤシエイチカテツサクラドオリセン,名古屋市営地下鉄桜通線,FF0000,赤,,136.93822438628,35.140667554001,12,0,99517
99518,179,名古屋市営地下鉄上飯田線,ナゴヤシエイチカテツカミイイダセン,名古屋市営地下鉄上飯田線,FF66C4,桃色,,136.929713,35.201222076956,15,0,99518
99519,180,ピーチライナー,ピーチライナー,桃花台新交通,,,,136.95855506878,35.298233531053,13,2,99519
99520,181,豊橋鉄道渥美線,トヨハシテツドウアツミセン,豊橋鉄道渥美線,,,,137.33036072803,34.70354167766,12,0,99520
99521,181,豊橋鉄道東田本線,トヨハシテツドウアヅマダホンセン,豊橋鉄道東田本線,,,,137.40575456086,34.765006059324,14,0,99521
99522,181,豊橋鉄道運動公園前線,トヨハシテツドウウンドウコウエンマエセン,豊橋鉄道運動公園前線,,,,137.42205658466,34.761869844585,16,2,99522
99523,182,ゆとりーとライン,ユトリートライン,ガイドウェイバス志段味線,,,,136.96119786773,35.205581232272,13,0,99523
99524,183,明知鉄道明知線,アケチテツドウアケチセン,明知鉄道明知線,,,,137.41201254923,35.382803041356,12,0,99524
99525,184,長良川鉄道越美南線,ナガラガワテツドウエツミナンセン,長良川鉄道越美南線,,,,136.92720763621,35.710076639798,10,0,99525
99526,185,樽見鉄道樽見線,タルミテツドウタルミセン,樽見鉄道樽見線,,,,136.62831882052,35.515245938695,11,0,99526
99528,186,三岐鉄道三岐線,サンギテツドウサンギセン,三岐鉄道三岐線,,,,136.54413602317,35.087472444993,11,0,99528
99529,186,三岐鉄道北勢線,サンギテツドウホクセイセン,三岐鉄道北勢線,,,,136.59849844273,35.094626678729,12,0,99529
99530,187,伊勢鉄道伊勢線,イセテツドウイセセン,伊勢鉄道伊勢線,,,,136.55236578203,34.833916164216,12,0,99530
99531,188,伊賀鉄道伊賀線,イガテツドウイガセン,伊賀鉄道伊賀線,,,,136.13962606612,34.733360528718,12,0,99531
99532,189,養老鉄道養老線,ヨウロウテツドウヨウロウセン,養老鉄道養老線,,,,136.62239938636,35.265960092875,11,0,99532
99601,190,近江鉄道本線,オウミテツドウホンセン,近江鉄道本線,,,,136.21097576145,35.155042485373,10,0,99601
99602,190,近江鉄道多賀線,オウミテツドウタガセン,近江鉄道多賀線,,,,136.26770142326,35.233252609383,14,0,99602
99603,190,近江鉄道八日市線,オウミテツドウヨウカイチセン,近江鉄道八日市線,,,,136.15042189411,35.110963744067,13,0,99603
99604,191,信楽高原鐵道信楽線,シガラキコウゲンテツドウシガラキセン,信楽高原鐵道信楽線,,,,136.09384466406,34.913168649136,12,0,99604
99605,192,嵯峨野観光線,サガノカンコウセン,嵯峨野観光線,,,,135.65168439551,35.021588141529,12,0,99605
99606,193,叡山電鉄叡山本線,エイザンデンテツエイザンホンセン,叡山電鉄叡山本線,,,,135.79087965808,35.050004221782,13,0,99606
99607,193,叡山電鉄鞍馬線,エイザンデンテツクラマセン,叡山電鉄鞍馬線,,,,135.7789773958,35.086168813684,13,0,99607
99608,194,宮福線,ミヤフクセン,宮福線,,,,135.1450786402,35.426650607346,11,0,99608
99609,194,宮豊線,ミヤトヨセン,宮豊線,,,,135.02146714367,35.58009666032,10,0,99609
99653,194,宮舞線,ミヤマイセン,宮舞線,,,,135.26547905523,35.499724785792,11,0,99609
99610,195,京都市営地下鉄烏丸線,キョウトシエイチカテツカラスマセン,京都市営地下鉄烏丸線,,,,135.76556730479,35.016333541091,12,0,99610
99611,195,京都市営地下鉄東西線,キョウトシエイチカテツトウザイセン,京都市営地下鉄東西線,,,,135.76612153489,34.979171078484,12,0,99611
99612,196,京福電鉄嵐山本線,ケイフクデンテツアラシヤマホンセン,京福電鉄嵐山本線,,,,135.71025779774,35.012713496927,13,0,99612
99613,196,京福電鉄北野線,ケイフクデンテツキタノセン,京福電鉄北野線,,,,135.71240194707,35.025937048312,14,0,99613
99614,197,北大阪急行電鉄,キタオオサカキュウコウデンテツ,北大阪急行電鉄,,,,135.49546160449,34.789927239204,12,0,99614
99616,198,泉北高速鉄道線,センボクコウソクテツドウセン,泉北高速鉄道線,,,,135.48923516667,34.509277558938,12,0,99616
99617,199,水間鉄道水間線,ミズマテツドウミズマセン,水間鉄道水間線,,,,135.36913312695,34.428011288824,13,0,99617
99618,249,大阪メトロ御堂筋線,オオサカメトロミドウスジセン,高速電気軌道第1号線,e5171f,臙脂,,135.51183765508,34.674645463965,11,0,99618
99619,249,大阪メトロ谷町線,オオサカメトロタニマチセン,高速電気軌道第2号線,522886,京紫,,135.55273192871,34.675671078573,12,0,99619
99620,249,大阪メトロ四つ橋線,オオサカメトロヨツバシセン,高速電気軌道第3号線,0078ba,縹,,135.4936511092,34.657919959217,13,0,99620
99621,249,大阪メトロ中央線,オオサカメトロチュウオウセン,高速電気軌道第4号線,019a66,緑,,135.4957467936,34.667773493933,12,0,99621
99622,249,大阪メトロ千日前線,オオサカメトロセンニチマエセン,高速電気軌道第5号線,e44d93,紅梅,,135.5153001746,34.676715098117,13,0,99622
99623,249,大阪メトロ堺筋線,オオサカメトロサカイスジセン,高速電気軌道第6号線,814721,マルーン,,135.50830001377,34.677623115531,13,0,99623
